ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses,DF_Name
1001,Regional Charlotte,Oficial,Wolfe Glick [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/306,https://pokepast.es/be37457a4cd04b6d,17.0,1.0,FWG_TR_IDs
1002,Regional Charlotte,Oficial,Nicholas Donnelly [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/52,https://pokepast.es/7c236cf59ac785c2,15.0,3.0,TurboMoona_IDs
1003,Regional Charlotte,Oficial,Luka Trejgut [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/811,https://pokepast.es/487ac3ae899aa58e,14.0,3.0,KOG_IDs
1004,Regional Charlotte,Oficial,Arbin Tumaneng [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/92,https://pokepast.es/1a3cc44f6c0393ff,13.0,4.0,TurboMoona_IDs
1005,Regional Charlotte,Oficial,Stephen Mea [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/671,https://pokepast.es/58009709fa793a93,13.0,3.0,TW_Offense_IDs
1006,Regional Charlotte,Oficial,Enzo Reci [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/584,https://pokepast.es/47b012ae9588f863,12.0,4.0,Gholdengo_HO_IDs
1007,Regional Charlotte,Oficial,Toler Webb [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/82,https://pokepast.es/6352831b5f8456c0,12.0,4.0,Psyspam_TW_IDs
1008,Regional Charlotte,Oficial,Neil Patel [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/202,https://pokepast.es/778412d6cd1f04fb,12.0,4.0,SetUp_DD_IDs
1009,Regional Charlotte,Oficial,Rajan Bal [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/605,https://pokepast.es/66f482c17f0eb098,12.0,3.0,Psyspam_TW_IDs
1010,Regional Charlotte,Oficial,Jeudy Azzarelli [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/413,https://pokepast.es/79778c4f177464b8,12.0,3.0,TR_Balance_IDs
1011,Regional Charlotte,Oficial,Kyle Livinghouse [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/75,https://pokepast.es/d5bd5354bd9775a6,12.0,3.0,TW_Offense_IDs
1012,Regional Charlotte,Oficial,Will Inabinet [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/165,https://pokepast.es/3626b1e0c8f1f7b2,12.0,3.0,KOG_IDs
1013,Regional Charlotte,Oficial,Raghav Malaviya [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/669,https://pokepast.es/6d0d710a77699f78,11.0,4.0,Pao_Prio_IDs
1014,Regional Charlotte,Oficial,Zhe Zhang [CN],https://standings.stalruth.dev/2024/regional-charlotte/masters/546,https://pokepast.es/6bcd4b186cf60a76,11.0,4.0,Pao_Prio_IDs
1015,Regional Charlotte,Oficial,Paul Chua [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/346,https://pokepast.es/14c8697695b474cf,11.0,4.0,
1016,Regional Charlotte,Oficial,Scott Iwafuchi [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/697,https://pokepast.es/eba23352f575c3e7,11.0,4.0,TR_Balance_IDs
1017,Regional Charlotte,Oficial,Sohaib Mufti [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/726,https://pokepast.es/31864f3b550bdf8a,11.0,4.0,TW_Offense_IDs
1018,Regional Charlotte,Oficial,Ashton Cox [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/815,https://pokepast.es/51afdfc7e6f70493,11.0,4.0,KOG_IDs
1019,Regional Charlotte,Oficial,Kazuki Kanehira [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/208,https://pokepast.es/d29950121f416f93,11.0,4.0,Rain_Offense_IDs
1020,Regional Charlotte,Oficial,Nick Navarre [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/474,https://pokepast.es/038b2cf3b8485ca3,11.0,4.0,
1021,Regional Charlotte,Oficial,Drew Brown [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/782,https://pokepast.es/8d6c0da8c8022c80,11.0,4.0,TW_Offense_IDs
1022,Regional Charlotte,Oficial,Shiliang Tang [CN],https://standings.stalruth.dev/2024/regional-charlotte/masters/114,https://pokepast.es/378909d9627b7ff6,11.0,4.0,Spanish_Balance_IDs
1023,Regional Charlotte,Oficial,Thaison Hughes [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/30,https://pokepast.es/60dabd7a300f688d,11.0,4.0,Rain_Offense_IDs
1024,Regional Charlotte,Oficial,Jérémy Côté [CA],https://standings.stalruth.dev/2024/regional-charlotte/masters/449,https://pokepast.es/b73588e27d4950fa,11.0,4.0,Rain_Offense_IDs
1025,Regional Charlotte,Oficial,Brian Collins [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/694,https://pokepast.es/233f343290b59e49,11.0,4.0,
1026,Regional Charlotte,Oficial,Riley Factura [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/581,https://pokepast.es/1b6a8ad717b529ba,11.0,4.0,Pao_Prio_IDs
1027,Regional Charlotte,Oficial,Brendan Zheng [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/822,https://pokepast.es/a245dfd448688a14,11.0,4.0,
1028,Regional Charlotte,Oficial,Marco Martinez [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/299,https://pokepast.es/7c6ef0084c5833dc,11.0,4.0,TR_Balance_IDs
1029,Regional Charlotte,Oficial,James Evans [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/444,https://pokepast.es/22386dc2c98db480,11.0,4.0,KOG_IDs
1030,Regional Charlotte,Oficial,Don Czech [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/334,https://pokepast.es/8effeac389cfff8e,11.0,4.0,Hail_Offense_IDs
1031,Regional Charlotte,Oficial,Justin Burns [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/286,https://pokepast.es/23fb6dfba90ef339,11.0,4.0,TR_Balance_IDs
1032,Regional Charlotte,Oficial,Zackary Thornberg [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/767,https://pokepast.es/d80e22256790a00d,11.0,4.0,TR_Balance_IDs
1033,Regional Charlotte,Oficial,Aaron Clemons [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/540,https://pokepast.es/562864571f57a917,10.0,5.0,Psyspam_TW_IDs
1034,Regional Charlotte,Oficial,Blake Silver [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/158,https://pokepast.es/727cc3e204871e0e,10.0,5.0,HardTR_IDs
1035,Regional Charlotte,Oficial,Jonathan Quiñones [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/418,https://pokepast.es/661cd18a5c876b25,10.0,5.0,
1036,Regional Charlotte,Oficial,David Baumgardt [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/263,https://pokepast.es/a79391f1bd9b2a47,10.0,5.0,
1037,Regional Charlotte,Oficial,Owen Murphy [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/179,https://pokepast.es/721012b6e9741daf,10.0,5.0,Rain_Offense_IDs
1038,Regional Charlotte,Oficial,Dashiell Murphy [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/579,https://pokepast.es/1455cb23a1e290f2,10.0,5.0,TW_Offense_IDs
1039,Regional Charlotte,Oficial,Chance Hinds [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/317,https://pokepast.es/b4e34a05c422c354,10.0,5.0,
1040,Regional Charlotte,Oficial,Donghun Youm [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/798,https://pokepast.es/d479b69f30f60c32,10.0,5.0,TR_Balance_IDs
1041,Regional Charlotte,Oficial,Devon Singh [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/377,https://pokepast.es/600783623c583c43,10.0,5.0,
1042,Regional Charlotte,Oficial,Yichun Wu [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/392,https://pokepast.es/6ef752ab735b3f5e,10.0,5.0,Spanish_Balance_IDs
1043,Regional Charlotte,Oficial,Jonathan Zuniga [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/138,https://pokepast.es/cd82fac71bdb33cc,10.0,5.0,TW_Offense_IDs
1044,Regional Charlotte,Oficial,Jered Hunn [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/570,https://pokepast.es/9c7042251d3e822b,10.0,5.0,
1045,Regional Charlotte,Oficial,Dylan Simmons [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/429,https://pokepast.es/ac4e97fedb23bbbc,10.0,5.0,
1046,Regional Charlotte,Oficial,Ethan Trejo [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/255,https://pokepast.es/b4ee5e4ca87f5ebd,10.0,5.0,Psyspam_TW_IDs
1047,Regional Charlotte,Oficial,Jerry Woods III [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/456,https://pokepast.es/0f4a6228e74a807c,10.0,5.0,
1048,Regional Charlotte,Oficial,Bobby Rochelle [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/535,https://pokepast.es/608397df8d82788c,10.0,5.0,KOG_IDs
1049,Regional Charlotte,Oficial,Dustin Deardurff [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/19,https://pokepast.es/aff0f65dc8847ea5,10.0,5.0,
1050,Regional Charlotte,Oficial,Joshua Denk [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/342,https://pokepast.es/765cd9e8613e18c7,10.0,5.0,Pao_Prio_IDs
1051,Regional Charlotte,Oficial,Brady Smith [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/388,https://pokepast.es/c94414666cf0e095,10.0,5.0,
