ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses
NOf-1001,Tommy's Tuesday Practice Tour,No-Oficial,heiwa,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'U-turn'], 'tera': 'Water'}, {'id': 'porygon2', 'name': 'Porygon2', 'item': 'Eviolite', 'ability': 'Download', 'attacks': ['Tera Blast', 'Ice Beam', 'Trick Room', 'Recover'], 'tera': 'Flying'}, {'id': 'ursaluna', 'name': 'Ursaluna', 'item': 'Flame Orb', 'ability': 'Guts', 'attacks': ['Protect', 'Facade', 'Headlong Rush', 'Earthquake'], 'tera': 'Ghost'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Protect', 'Spore', 'Rage Powder', 'Sludge Bomb'], 'tera': 'Ghost'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Sitrus Berry', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Flare Blitz', 'Knock Off', 'Parting Shot'], 'tera': 'Grass'}, {'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Protect', 'Moonblast', 'Shadow Ball', 'Substitute'], 'tera': 'Fairy'}]",8,2
NOf-1002,Tommy's Tuesday Practice Tour,No-Oficial,lorenzo_baldera,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'U-turn'], 'tera': 'Steel'}, {'id': 'chien-pao', 'name': 'Chien-Pao', 'item': 'Focus Sash', 'ability': 'Sword of Ruin', 'attacks': ['Protect', 'Icicle Crash', 'Sucker Punch', 'Sacred Sword'], 'tera': 'Ghost'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Leftovers', 'ability': 'Protosynthesis', 'attacks': ['Thunderclap', 'Dragon Pulse', 'Calm Mind', 'Protect'], 'tera': 'Fairy'}, {'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Substitute', 'Protect'], 'tera': 'Poison'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Parting Shot', 'Flare Blitz', 'Will-O-Wisp', 'Fake Out'], 'tera': 'Ghost'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Wood Hammer', 'Grassy Glide', 'U-turn', 'Fake Out'], 'tera': 'Fire'}]",8,2
NOf-1003,Tommy's Tuesday Practice Tour,No-Oficial,fester213,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Moonblast', 'Shadow Ball', 'Icy Wind', 'Protect'], 'tera': 'Fairy'}, {'id': 'dragonite', 'name': 'Dragonite', 'item': 'Choice Band', 'ability': 'Inner Focus', 'attacks': ['Extreme Speed', 'Outrage', 'Aerial Ace', 'Earthquake'], 'tera': 'Normal'}, {'id': 'dondozo', 'name': 'Dondozo', 'item': 'Leftovers', 'ability': 'Unaware', 'attacks': ['Wave Crash', 'Earthquake', 'Order Up', 'Protect'], 'tera': 'Grass'}, {'id': 'chien-pao', 'name': 'Chien-Pao', 'item': 'Focus Sash', 'ability': 'Sword of Ruin', 'attacks': ['Ice Spinner', 'Sucker Punch', 'Sacred Sword', 'Protect'], 'tera': 'Ghost'}, {'id': 'glimmora', 'name': 'Glimmora', 'item': 'Power Herb', 'ability': 'Toxic Debris', 'attacks': ['Meteor Beam', 'Sludge Bomb', 'Mortal Spin', 'Spiky Shield'], 'tera': 'Grass'}, {'id': 'tatsugiri', 'name': 'Tatsugiri', 'item': 'Choice Scarf', 'ability': 'Commander', 'attacks': ['Muddy Water', 'Draco Meteor', 'Icy Wind', 'Dragon Pulse'], 'tera': 'Steel'}]",8,1
NOf-1004,Tommy's Tuesday Practice Tour,No-Oficial,renata,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'arcanine-hisui', 'name': 'Hisuian Arcanine', 'item': 'Choice Band', 'ability': 'Intimidate', 'attacks': ['Rock Slide', 'Flare Blitz', 'Extreme Speed', 'Head Smash'], 'tera': 'Ghost'}, {'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Choice Specs', 'ability': 'Protosynthesis', 'attacks': ['Moonblast', 'Dazzling Gleam', 'Shadow Ball', 'Icy Wind'], 'tera': 'Fairy'}, {'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Protect', 'Taunt'], 'tera': 'Steel'}, {'id': 'ogerpon-wellspring', 'name': 'Wellspring Mask Ogerpon', 'item': 'Wellspring Mask', 'ability': 'Water Absorb', 'attacks': ['Ivy Cudgel', 'Horn Leech', 'Follow Me', 'Spiky Shield'], 'tera': 'Water'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Grassy Glide', 'Wood Hammer', 'U-turn', 'Fake Out'], 'tera': 'Fire'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Leftovers', 'ability': 'Protosynthesis', 'attacks': ['Thunderclap', 'Protect', 'Dragon Pulse', 'Calm Mind'], 'tera': 'Fairy'}]",6,3
NOf-1005,Tommy's Tuesday Practice Tour,No-Oficial,k3ngo,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'ursaluna', 'name': 'Ursaluna', 'item': 'Flame Orb', 'ability': 'Guts', 'attacks': ['Headlong Rush', 'Protect', 'Earthquake', 'Facade'], 'tera': 'Ghost'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Sitrus Berry', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Knock Off', 'Flare Blitz', 'Parting Shot'], 'tera': 'Grass'}, {'id': 'porygon2', 'name': 'Porygon2', 'item': 'Eviolite', 'ability': 'Download', 'attacks': ['Tera Blast', 'Recover', 'Ice Beam', 'Trick Room'], 'tera': 'Flying'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Protect', 'Spore', 'Rage Powder', 'Sludge Bomb'], 'tera': 'Ghost'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Mystic Water', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Aqua Jet', 'Detect', 'Poison Jab'], 'tera': 'Poison'}, {'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Protect', 'Moonblast', 'Shadow Ball', 'Substitute'], 'tera': 'Fairy'}]",6,2
NOf-1006,Tommy's Tuesday Practice Tour,No-Oficial,marcos,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Mystic Water', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Detect', 'Close Combat', 'Aqua Jet'], 'tera': 'Steel'}, {'id': 'chien-pao', 'name': 'Chien-Pao', 'item': 'Focus Sash', 'ability': 'Sword of Ruin', 'attacks': ['Icicle Crash', 'Protect', 'Sacred Sword', 'Sucker Punch'], 'tera': 'Ghost'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Parting Shot', 'Flare Blitz', 'Taunt'], 'tera': 'Ghost'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Grassy Glide', 'Wood Hammer', 'Fake Out', 'U-turn'], 'tera': 'Fire'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Leftovers', 'ability': 'Protosynthesis', 'attacks': ['Thunderclap', 'Dragon Pulse', 'Calm Mind', 'Protect'], 'tera': 'Fairy'}, {'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Substitute', 'Protect'], 'tera': 'Poison'}]",5,3
NOf-1007,Tommy's Tuesday Practice Tour,No-Oficial,marlox,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'incineroar', 'name': 'Incineroar', 'item': 'Assault Vest', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'U-turn', 'Flare Blitz', 'Snarl'], 'tera': 'Poison'}, {'id': 'ninetales-alola', 'name': 'Alolan Ninetales', 'item': 'Light Clay', 'ability': 'Snow Warning', 'attacks': ['Moonblast', 'Icy Wind', 'Aurora Veil', 'Protect'], 'tera': 'Ghost'}, {'id': 'ogerpon-wellspring', 'name': 'Wellspring Mask Ogerpon', 'item': 'Wellspring Mask', 'ability': 'Water Absorb', 'attacks': ['Horn Leech', 'Ivy Cudgel', 'Follow Me', 'Spiky Shield'], 'tera': 'Water'}, {'id': 'volcarona', 'name': 'Volcarona', 'item': 'Leftovers', 'ability': 'Flame Body', 'attacks': ['Quiver Dance', 'Fiery Dance', 'Protect', 'Giga Drain'], 'tera': 'Dragon'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Magnet', 'ability': 'Protosynthesis', 'attacks': ['Protect', 'Thunderbolt', 'Thunderclap', 'Draco Meteor'], 'tera': 'Electric'}, {'id': 'articuno', 'name': 'Articuno', 'item': 'Choice Specs', 'ability': 'Snow Cloak', 'attacks': ['Freeze-Dry', 'Blizzard', 'Ice Beam', 'Sheer Cold'], 'tera': 'Ice'}]",5,3
NOf-1008,Tommy's Tuesday Practice Tour,No-Oficial,cardeno27,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Substitute', 'Protect'], 'tera': 'Poison'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Sitrus Berry', 'ability': 'Intimidate', 'attacks': ['Parting Shot', 'Flare Blitz', 'Fake Out', 'Knock Off'], 'tera': 'Ghost'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Wood Hammer', 'Grassy Glide', 'Fake Out', 'U-turn'], 'tera': 'Fire'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Aqua Jet', 'Close Combat', 'Surging Strikes', 'U-turn'], 'tera': 'Water'}, {'id': 'ogerpon-hearthflame', 'name': 'Hearthflame Mask Ogerpon', 'item': 'Hearthflame Mask', 'ability': 'Mold Breaker', 'attacks': ['Ivy Cudgel', 'Wood Hammer', 'Spiky Shield', 'Swords Dance'], 'tera': 'Fire'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Leftovers', 'ability': 'Protosynthesis', 'attacks': ['Thunderclap', 'Dragon Pulse', 'Protect', 'Calm Mind'], 'tera': 'Grass'}]",5,3
NOf-1009,Tommy's Tuesday Practice Tour,No-Oficial,gabir,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'gholdengo', 'name': 'Gholdengo', 'item': 'Iron Plate', 'ability': 'Good as Gold', 'attacks': ['Make It Rain', 'Shadow Ball', 'Nasty Plot', 'Protect'], 'tera': 'Dragon'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Parting Shot', 'Flare Blitz', 'Knock Off', 'Fake Out'], 'tera': 'Ghost'}, {'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Substitute', 'Protect'], 'tera': 'Poison'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Spore', 'Rage Powder', 'Pollen Puff', 'Protect'], 'tera': 'Water'}, {'id': 'porygon2', 'name': 'Porygon2', 'item': 'Eviolite', 'ability': 'Download', 'attacks': ['Tera Blast', 'Ice Beam', 'Recover', 'Trick Room'], 'tera': 'Flying'}, {'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Moonblast', 'Shadow Ball', 'Taunt', 'Protect'], 'tera': 'Fairy'}]",6,1
NOf-1010,Tommy's Tuesday Practice Tour,No-Oficial,moxieinfernape,https://play.limitlesstcg.com/api/tournaments/6601c44961164605cc78e011/pairings,"[{'id': 'ursaluna', 'name': 'Ursaluna', 'item': 'Flame Orb', 'ability': 'Guts', 'attacks': ['Facade', 'Earthquake', 'Headlong Rush', 'Protect'], 'tera': 'Dragon'}, {'id': 'farigiraf', 'name': 'Farigiraf', 'item': 'Sitrus Berry', 'ability': 'Armor Tail', 'attacks': ['Trick Room', 'Hyper Voice', 'Psychic', 'Protect'], 'tera': 'Fairy'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Fake Out', 'Grassy Glide', 'Wood Hammer', 'U-turn'], 'tera': 'Water'}, {'id': 'enamorus-therian', 'name': 'Enamorus Therian', 'item': 'Choice Specs', 'ability': 'Overcoat', 'attacks': ['Moonblast', 'Dazzling Gleam', 'Earth Power', 'Sludge Bomb'], 'tera': 'Steel'}, {'id': 'ogerpon-hearthflame', 'name': 'Hearthflame Mask Ogerpon', 'item': 'Hearthflame Mask', 'ability': 'Mold Breaker', 'attacks': ['Ivy Cudgel', 'Grassy Glide', 'Follow Me', 'Spiky Shield'], 'tera': 'Fire'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'U-turn', 'Ice Spinner'], 'tera': 'Water'}]",5,2
