ID,Ronda,Rival,Resultado
NOf-1001,1,block7,Win
NOf-1001,2,cardeno27,Win
NOf-1001,3,tiddvicious,Loss
NOf-1001,4,galaxxian,Win
NOf-1001,5,parawings,Loss
NOf-1001,6,playfakervgc,Win
NOf-1001,T8-3,cardeno27,Win
NOf-1001,T4-2,renata,Win
NOf-1001,T2-1,lorenzo_baldera,Win
NOf-1001,T16-6,memesndreams,Win
NOf-1002,1,rickinch,Win
NOf-1002,2,corkscrewracer,Win
NOf-1002,3,zeroblaze,Win
NOf-1002,4,tiddvicious,Win
NOf-1002,5,fester213,Loss
NOf-1002,6,marcos,Win
NOf-1002,T4-1,fester213,Win
NOf-1002,T8-2,k3ngo,Win
NOf-1002,T16-4,jenkinsvgc,Win
NOf-1002,T2-1,heiwa,Loss
NOf-1003,1,chinds,Win
NOf-1003,2,soraxjm,Win
NOf-1003,3,marcos,Win
NOf-1003,4,bliindprodiigy,Win
NOf-1003,5,lorenzo_baldera,Win
NOf-1003,6,thejaya,Win
NOf-1003,T16-1,soraxjm,Win
NOf-1003,T8-1,marcos,Win
NOf-1003,T4-1,lorenzo_baldera,Loss
NOf-1004,1,karlin22,Win
NOf-1004,2,moxieinfernape,Loss
NOf-1004,3,jimmysley28,Win
NOf-1004,4,edgard2188,Win
NOf-1004,5,cardeno27,Win
NOf-1004,6,k3ngo,Loss
NOf-1004,T16-8,alajmoff,Win
NOf-1004,T4-2,heiwa,Loss
NOf-1004,T8-4,marlox,Win
NOf-1005,1,ptwarrior19,Win
NOf-1005,2,fsucia,Win
NOf-1005,3,moxieinfernape,Loss
NOf-1005,4,arisu,Win
NOf-1005,5,thricedtalon,Win
NOf-1005,6,renata,Win
NOf-1005,T16-3,parawings,Win
NOf-1005,T8-2,lorenzo_baldera,Loss
NOf-1006,1,arisu,Win
NOf-1006,2,sodamario,Win
NOf-1006,3,fester213,Loss
NOf-1006,4,zeroblaze,Win
NOf-1006,5,blaze7989,Win
NOf-1006,6,lorenzo_baldera,Loss
NOf-1006,T8-1,fester213,Loss
NOf-1006,T16-2,sodamario,Win
NOf-1007,1,sodamario,Loss
NOf-1007,2,saltwater7,Win
NOf-1007,3,butterpatt,Win
NOf-1007,4,orangesteve,Win
NOf-1007,5,thebigmacky,Win
NOf-1007,6,moxieinfernape,Loss
NOf-1007,T8-4,renata,Loss
NOf-1007,T16-7,moxieinfernape,Win
NOf-1008,1,soilchemy,Win
NOf-1008,2,heiwa,Loss
NOf-1008,3,soraxjm,Win
NOf-1008,4,chinds,Win
NOf-1008,5,renata,Loss
NOf-1008,6,thricedtalon,Win
NOf-1008,T8-3,heiwa,Loss
NOf-1008,T16-5,gabir,Win
NOf-1009,1,whiskeyscoob,Win
NOf-1009,2,hunter_6430,Win
NOf-1009,3,therumpleman,Win
NOf-1009,4,thebigmacky,Win
NOf-1009,5,moxieinfernape,Win
NOf-1009,6,alajmoff,Win
NOf-1009,T16-5,cardeno27,Loss
NOf-1010,1,playfakervgc,Win
NOf-1010,2,renata,Win
NOf-1010,3,k3ngo,Win
NOf-1010,4,thricedtalon,Win
NOf-1010,5,gabir,Loss
NOf-1010,6,marlox,Win
NOf-1010,T16-7,marlox,Loss
NOf-1011,1,br00p,Win
NOf-1011,2,animeredneck,Win
NOf-1011,3,davey,Win
NOf-1011,4,binasprosta,Win
NOf-1011,5,jenkinsvgc,Win
NOf-1011,6,gabir,Loss
NOf-1011,T16-8,renata,Loss
NOf-1012,1,kuany,Win
NOf-1012,2,h20wned,Win
NOf-1012,3,bliindprodiigy,Loss
NOf-1012,4,jp123,Win
NOf-1012,5,binasprosta,Win
NOf-1012,6,mrawesome,Win
NOf-1012,T16-6,heiwa,Loss
NOf-1013,1,marlox,Win
NOf-1013,2,marcos,Loss
NOf-1013,3,chwarvgc,Win
NOf-1013,4,bippity_b,Win
NOf-1013,5,breadpudding248,Win
NOf-1013,6,spidopsvgc,Win
NOf-1013,T16-2,marcos,Loss
NOf-1014,1,dinosaurvenom,Win
NOf-1014,2,vinuapollo,Win
NOf-1014,3,patillac,Win
NOf-1014,4,parawings,Win
NOf-1014,5,alajmoff,Loss
NOf-1014,T16-4,lorenzo_baldera,Loss
NOf-1015,1,cymorg,Win
NOf-1015,2,orangesteve,Win
NOf-1015,3,mrrishi,Win
NOf-1015,4,jenkinsvgc,Loss
NOf-1015,5,heiwa,Win
NOf-1015,T16-3,k3ngo,Loss
NOf-1016,1,carloswillow,Win
NOf-1016,2,fester213,Loss
NOf-1016,3,cardeno27,Loss
NOf-1016,4,rushggs,Win
NOf-1016,5,bippity_b,Win
NOf-1016,6,damedge,Win
NOf-1016,T16-1,fester213,Loss
NOf-1017,1,voidbunny123,Win
NOf-1017,2,tiddvicious,Loss
NOf-1017,3,rushggs,Win
NOf-1017,4,animeredneck,Win
NOf-1017,5,playfakervgc,Win
NOf-1017,6,sodamario,Loss
NOf-1018,1,damedge,Win
NOf-1018,2,kaige,Win
NOf-1018,3,thricedtalon,Loss
NOf-1018,4,mcampbell10,Win
NOf-1018,5,mrawesome,Loss
NOf-1018,6,jp123,Win
NOf-1019,1,novacast,Loss
NOf-1019,2,soilchemy,Win
NOf-1019,3,sanaito,Win
NOf-1019,4,stonestormvgc,Win
NOf-1019,5,h20wned,Win
NOf-1019,6,fester213,Loss
NOf-1020,1,mcn09012,Win
NOf-1020,2,davey,Loss
NOf-1020,3,mizufr,Win
NOf-1020,4,patillac,Win
NOf-1020,5,mammothvgc,Win
NOf-1020,6,memesndreams,Loss
NOf-1021,DROP,DROP,DROP
NOf-1021,2,jimmysley28,Loss
NOf-1021,3,juancach,Win
NOf-1021,4,raikudraco,Win
NOf-1021,5,patmatrick,Win
