ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
NOf-1001,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
NOf-1001,Porygon2,Eviolite,Download,Flying,Tera Blast,Ice Beam,Trick Room,Recover
NOf-1001,Ursaluna,Flame Orb,Guts,Ghost,Protect,Facade,Headlong Rush,Earthquake
NOf-1001,Amoonguss,Rocky Helmet,Regenerator,Ghost,Protect,Spore,Rage Powder,Sludge Bomb
NOf-1001,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,Parting Shot
NOf-1001,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Substitute
NOf-1002,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,U-turn
NOf-1002,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Icicle Crash,Sucker Punch,Sacred Sword
NOf-1002,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect
NOf-1002,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect
NOf-1002,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Flare Blitz,Will-O-Wisp,Fake Out
NOf-1002,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out
NOf-1003,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect
NOf-1003,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Aerial Ace,Earthquake
NOf-1003,Dondozo,Leftovers,Unaware,Grass,Wave Crash,Earthquake,Order Up,Protect
NOf-1003,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect
NOf-1003,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Mortal Spin,Spiky Shield
NOf-1003,Tatsugiri,Choice Scarf,Commander,Steel,Muddy Water,Draco Meteor,Icy Wind,Dragon Pulse
NOf-1004,Hisuian Arcanine,Choice Band,Intimidate,Ghost,Rock Slide,Flare Blitz,Extreme Speed,Head Smash
NOf-1004,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
NOf-1004,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Protect,Taunt
NOf-1004,Wellspring Mask Ogerpon,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
NOf-1004,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out
NOf-1004,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Protect,Dragon Pulse,Calm Mind
