ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses
1001,Regional Charlotte,Oficial,Wolfe Glick [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/306,https://pokepast.es/be37457a4cd04b6d,17,1
1002,Regional Charlotte,Oficial,Nicholas Donnelly [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/52,https://pokepast.es/7c236cf59ac785c2,15,3
1003,Regional Charlotte,Oficial,Luka Trejgut [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/811,https://pokepast.es/487ac3ae899aa58e,14,3
1004,Regional Charlotte,Oficial,Arbin Tumaneng [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/92,https://pokepast.es/1a3cc44f6c0393ff,13,4
1005,Regional Charlotte,Oficial,Stephen Mea [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/671,https://pokepast.es/58009709fa793a93,13,3
1006,Regional Charlotte,Oficial,Enzo Reci [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/584,https://pokepast.es/47b012ae9588f863,12,4
1007,Regional Charlotte,Oficial,Toler Webb [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/82,https://pokepast.es/6352831b5f8456c0,12,4
1008,Regional Charlotte,Oficial,Neil Patel [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/202,https://pokepast.es/778412d6cd1f04fb,12,4
1009,Regional Charlotte,Oficial,Rajan Bal [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/605,https://pokepast.es/66f482c17f0eb098,12,3
1010,Regional Charlotte,Oficial,Jeudy Azzarelli [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/413,https://pokepast.es/79778c4f177464b8,12,3
1011,Regional Charlotte,Oficial,Kyle Livinghouse [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/75,https://pokepast.es/d5bd5354bd9775a6,12,3
1012,Regional Charlotte,Oficial,Will Inabinet [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/165,https://pokepast.es/3626b1e0c8f1f7b2,12,3
1013,Regional Charlotte,Oficial,Raghav Malaviya [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/669,https://pokepast.es/6d0d710a77699f78,11,4
1014,Regional Charlotte,Oficial,Zhe Zhang [CN],https://standings.stalruth.dev/2024/regional-charlotte/masters/546,https://pokepast.es/6bcd4b186cf60a76,11,4
