ID,Ronda,Rival,Resultado
1001,Finals,Nicholas Donnelly [US],Win
1001,Top 4,Luka Trejgut [US],Win
1001,Top 8,Neil Patel [US],Win
1001,15,Luka Trejgut [US],Win
1001,14,Ashton Cox [US],Win
1001,13,Stephen Mea [US],Loss
1001,12,Nicholas Donnelly [US],Win
1001,11,Aaron Clemons [US],Win
1001,10,Zhe Zhang [CN],Win
1001,9,Nicholas Donnelly [US],Win
1001,8,Connor Swikart [US],Win
1001,7,Zackary Thornberg [US],Win
1001,6,Samuel Mowery [US],Win
1001,5,Stefan Mott [US],Win
1001,4,Thaison Hughes [US],Win
1001,3,Jacob Lintner [US],Win
1001,2,Arick Donovan [US],Win
1001,1,Benjamin Sorohan [US],Win
1002,Finals,Wolfe Glick [US],Loss
1002,Top 4,Arbin Tumaneng [US],Win
1002,Top 8,Toler Webb [US],Win
1002,15,Jeudy Azzarelli [US],Win
1002,14,Brian Collins [US],Win
1002,13,Neil Patel [US],Win
1002,12,Wolfe Glick [US],Loss
1002,11,Raghav Malaviya [US],Win
1002,10,Jonathan Quiñones [US],Win
1002,9,Wolfe Glick [US],Loss
1002,8,Nick Navarre [US],Win
1002,7,Sohaib Mufti [US],Win
1002,6,Sergio Mojica [US],Win
1002,5,Eric Stuart [US],Win
1002,4,David Mancuso [US],Win
1002,3,Kyle Foley [US],Win
1002,2,Joseph Inkumsah [US],Win
1002,1,Autumn Dast [US],Win
1003,Top 4,Wolfe Glick [US],Loss
1003,Top 8,Enzo Reci [US],Win
1003,15,Wolfe Glick [US],Loss
1003,14,Stephen Mea [US],Win
1003,13,Aaron Clemons [US],Win
1003,12,Drew Brown [US],Win
1003,11,Justin Tang [US],Win
1003,10,Sohaib Mufti [US],Win
1003,9,Jérémy Côté [CA],Win
1003,8,John Rutledge [US],Win
1003,7,Sam Pletcher [US],Win
1003,6,Tianshu Ren [US],Win
1003,5,Matthew So [US],Win
1003,4,Mahaley McAllister [US],Win
1003,3,Daniel A Fontes [US],Loss
1003,2,Matthew Bopp [US],Win
1003,1,Michael Bailer [US],Win
1004,Top 4,Nicholas Donnelly [US],Loss
1004,Top 8,Stephen Mea [US],Win
1004,15,Stephen Mea [US],Loss
1004,14,Paul Chua [US],Win
1004,13,Raghav Malaviya [US],Win
1004,12,Scott Iwafuchi [US],Win
1004,11,Kazuki Kanehira [US],Win
1004,10,Logan Mazur [US],Win
1004,9,Norah Bowman [US],Win
1004,8,Joe Carlino [US],Win
1004,7,Angel Rodriguez Espada [US],Win
1004,6,Andrew Engelman [US],Win
1004,5,Aiden Hunt [US],Win
1004,4,Yuki Kazeko [US],Win
1004,3,Carter Davis [US],Loss
1004,2,John Blackburn [US],Loss
1004,1,Kenneth Reina De La Torre [US],Win
1005,Top 8,Arbin Tumaneng [US],Loss
1005,15,Arbin Tumaneng [US],Win
1005,14,Luka Trejgut [US],Loss
1005,13,Wolfe Glick [US],Win
1005,12,Enzo Reci [US],Win
1005,11,Zhe Zhang [CN],Win
1005,10,Joseph Cartin [US],Win
1005,9,Nathan Parker [US],Win
1005,8,Zhe Zhang [CN],Loss
1005,7,Kyle Livinghouse [US],Win
1005,6,Karl Kopczynski [US],Win
1005,5,Chengyu Wang [CN],Win
1005,4,Phillip Wingett [US],Win
1005,3,Chuppa Cross IV [US],Win
1005,2,Drew Kendziora [US],Win
1005,1,Seth Harrell [US],Win
1006,Top 8,Luka Trejgut [US],Loss
1006,15,Brian Collins [US],Win
1006,14,Raghav Malaviya [US],Win
1006,13,Jeudy Azzarelli [US],Loss
1006,12,Stephen Mea [US],Loss
1006,11,Scott Iwafuchi [US],Win
1006,10,Blake Silver [US],Win
1006,9,Don Czech [US],Win
1006,8,Mateo Vasic [US],Win
1006,7,Steven Kaye [US],Win
1006,6,Alex Romeu [US],Win
1006,5,Samuel Temple [US],Win
1006,4,Zhe Zhang [CN],Loss
1006,3,Abigail Watson [US],Win
1006,2,Jon VanRyckeghem [US],Win
1006,1,Benjamin Brickeen [US],Win
1007,Top 8,Nicholas Donnelly [US],Loss
1007,15,Sohaib Mufti [US],Win
1007,14,Marco Martinez [US],Win
1007,13,Riley Factura [US],Win
1007,12,Yichun Wu [US],Win
1007,11,Christian Dam [US],Win
1007,10,Paul Chua [US],Loss
1007,9,Lorenzo Arce [US],Win
1007,8,Brendan Zheng [US],Loss
1007,7,Will Inabinet [US],Win
1007,6,Jeffrey Lehmann [US],Win
1007,5,Sohaib Mufti [US],Loss
1007,4,Christopher Baez [US],Win
1007,3,Luke Bowar [US],Win
1007,2,Ainsley Villafana [US],Win
1007,1,Wyatt Clark [US],Win
1008,Top 8,Wolfe Glick [US],Loss
1008,15,Ashton Cox [US],Win
1008,14,Blake Silver [US],Win
1008,13,Nicholas Donnelly [US],Loss
1008,12,Owen Murphy [US],Win
1008,11,Trista Medine [US],Win
1008,DROP,DROP,DROP
1008,9,Shiliang Tang [CN],Loss
1008,8,Zackary Thornberg [US],Win
1008,7,Andrew Tham [US],Win
1008,6,Alexavier Alvarez [US],Win
1008,5,Jeongbin Pak [US],Win
1008,4,Sam Danneker [US],Loss
1008,3,Micah Lee [US],Win
1008,2,Kevin Swastek [US],Win
1008,1,Karl Kopczynski [US],Win
1009,15,Kazuki Kanehira [US],Win
1009,14,Brendan Zheng [US],Win
1009,13,Shiliang Tang [CN],Win
1009,12,Jerry Woods III [US],Win
1009,11,Thaison Hughes [US],Loss
1009,10,Stephen Hill [US],Win
1009,9,Christina Bacino [US],Win
1009,8,Rishi Gupta [US],Win
1009,7,Jason Tang [US],Win
1009,6,Joseph Ugarte [US],Loss
1009,5,Nathan Parker [US],Loss
1009,4,Dashiell Murphy [US],Win
1009,3,Michael Arand [US],Win
1009,2,Jianzheng Huang [CN],Win
1009,1,Andrew Zdancewicz [US],Win
1010,15,Nicholas Donnelly [US],Loss
1010,14,Devon Singh [US],Win
1010,13,Enzo Reci [US],Win
1010,12,felipe molino [PA],Win
1010,11,Jonathan Quiñones [US],Win
1010,10,Justin Carris [US],Win
1010,9,KaSun Thompson [US],Win
1010,8,Brian Dumont [US],Win
1010,7,Blake Silver [US],Loss
1010,6,Chris Wolfe [US],Win
1010,5,Jacob Vargas [US],Win
1010,4,Marcus Dion [CA],Win
1010,3,David Shoffner [US],Win
1010,2,Aaron Davis [US],Loss
1010,1,Clinton Cheang [US],Win
1011,15,Nick Navarre [US],Win
1011,14,Aaron Clemons [US],Win
1011,13,Drew Brown [US],Win
1011,12,Ethan Trejo [US],Win
1011,11,felipe molino [PA],Loss
1011,10,Chance Hinds [US],Win
1011,9,Stefan Mott [US],Win
1011,8,Justin Tang [US],Loss
1011,7,Stephen Mea [US],Loss
1011,6,Steven Kaye [US],Win
1011,5,Aaron Clemons [US],Win
1011,4,Mia Gray [US],Win
1011,3,Joshua Gagnon [US],Win
1011,2,Trista Medine [US],Win
1011,1,Aaron Perez [US],Win
1012,15,Scott Iwafuchi [US],Win
1012,14,Dashiell Murphy [US],Win
1012,13,James Evans [US],Win
1012,12,Aaron Clemons [US],Loss
1012,11,Jonathan Zuniga [US],Win
1012,10,Noah Gardner [US],Win
1012,9,Tristan Juhasz [US],Win
1012,8,Zachary Liekweg [US],Win
1012,7,Toler Webb [US],Loss
1012,6,Kent Wong [US],Win
1012,5,Theo Cooper [US],Win
1012,4,Nick Navarre [US],Loss
1012,3,CJ Moritz [US],Win
1012,2,Andrew Sonza [US],Win
1012,1,Trevor Roeder [US],Win
1013,15,Chance Hinds [US],Win
1013,14,Enzo Reci [US],Loss
1013,13,Arbin Tumaneng [US],Loss
1013,12,Nick Navarre [US],Win
1013,11,Nicholas Donnelly [US],Loss
1013,10,Brendan Zheng [US],Win
1013,9,Owen Murphy [US],Win
1013,8,Samuel Mowery [US],Win
1013,7,Rowan Hall [US],Win
1013,6,Geoffrey Yang [US],Win
1013,5,Dominique Johnson [US],Win
1013,4,Lane Burke [US],Win
1013,3,David Mancuso [US],Loss
1013,2,Tate Colburn [US],Win
1013,1,Ian Kormos [US],Win
1014,15,Jonathan Zuniga [US],Win
1014,14,Sohaib Mufti [US],Loss
1014,13,Brian Collins [US],Loss
1014,12,Marco Martinez [US],Win
1014,11,Stephen Mea [US],Loss
1014,10,Wolfe Glick [US],Loss
1014,9,Scott Iwafuchi [US],Win
1014,8,Stephen Mea [US],Win
1014,7,Norah Bowman [US],Win
1014,6,Owen Murphy [US],Win
1014,5,Jerry Woods III [US],Win
1014,4,Enzo Reci [US],Win
1014,3,Janice Lee [US],Win
1014,2,Richard Dover [US],Win
1014,1,Darius Helmick [US],Win
1015,15,Marco Martinez [US],Loss
