ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
1001,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
1001,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Flare Blitz,Parting Shot
1001,Flutter Mane,Booster Energy,Protosynthesis,Grass,Protect,Shadow Ball,Moonblast,Calm Mind
1001,Farigiraf,Throat Spray,Armor Tail,Fairy,Protect,Psychic,Hyper Voice,Trick Room
1001,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Swords Dance,Grassy Glide
1001,Rillaboom,Assault Vest,Grassy Surge,Poison,Fake Out,Wood Hammer,U-turn,Grassy Glide
1002,Iron Hands,Clear Amulet,Quark Drive,Grass,Fake Out,Wild Charge,Close Combat,Heavy Slam
1002,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Icy Wind,Taunt
1002,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect
1002,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Imprison,Trick Room,Dazzling Gleam,Helping Hand
1002,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect
1002,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield
1003,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark
1003,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1003,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,Fake Out,High Horsepower
1003,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect
1003,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Perish Song
1003,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect
1004,Tornadus,Covert Cloak,Prankster,Ghost,Air Slash,Tailwind,Taunt,Protect
1004,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect
1004,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
1004,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind
1004,Farigiraf,Throat Spray,Armor Tail,Water,Hyper Voice,Psyshock,Helping Hand,Trick Room
1004,Arcanine-Hisui,Assault Vest,Intimidate,Dark,Flare Blitz,Rock Slide,Extreme Speed,Snarl
